CODGEO;SNHM18;SNHMC18;SNHMP18;SNHME18;SNHMO18;SNHMF18;SNHMFC18;SNHMFP18;SNHMFE18;SNHMFO18;SNHMH18;SNHMHC18;SNHMHP18;SNHMHE18;SNHMHO18;SNHM1818;SNHM2618;SNHM5018;SNHMF1818;SNHMF2618;SNHMF5018;SNHMH1818;SNHMH2618;SNHMH5018
01;14.2853385689463;25.0860883651573;15.1975021004232;11.0192990647413;11.531505050752;12.6748291030778;21.621226086718;13.8901358883669;10.7922458390263;10.2751214695121;15.4202287263031;26.663490062042;16.2233823457188;11.6815221629998;11.8610548489758;9.92741833465027;14.246770399368;16.2912001748361;9.55323322577294;12.7916970300092;13.7566578948274;10.1956911760339;15.2602523037559;18.1154390876899
02;13.1405923272314;23.6253701920476;14.9384484342009;10.6078213228314;11.5028879980825;11.8845953612079;20.4764029819512;13.6547376296404;10.3680410833535;10.2514961379608;13.8626880646029;24.9914588335741;15.8144814239114;11.1440191184535;11.7517748727636;9.7430672195678;12.9482392869886;14.9324004302605;9.39268792483588;11.8396596726725;13.0571158976182;9.97931606398632;13.5716818429128;16.0033789522037
03;12.7736106532773;23.3511934523364;14.4855747584792;10.2942847804496;11.1760027436164;11.6451586941557;20.1924491017573;13.5180179308101;10.1027509946451;10.3648089850456;13.5503530230685;24.8854717998993;15.1901482274195;10.8303950720888;11.356079760474;9.62409396426532;12.5275315871997;14.5899636926816;9.27278185065652;11.5338565607045;12.821020279619;9.87003084091701;13.1966090650461;15.8611313402095
04;13.2401452879668;22.6231771678388;14.6805023560505;10.4183905362133;11.2421539293478;11.977824747799;20.367948021504;13.3722255943341;10.2124152360686;9.78699914364143;14.1519661620627;23.7630244309588;15.7233311601291;10.8817299908989;11.5069436845061;9.66207341911093;12.9620201459387;15.2016141159325;9.41747910912728;11.8637632404185;13.1626223879619;9.84383118339935;13.7282283072542;16.7725517283309
05;12.6306405560192;21.1746613348076;14.1439760856152;10.4294917564294;11.3726457190588;11.6381393610175;19.020705780916;13.1806198318281;10.2716242257597;9.33100678436838;13.3787866472431;22.3963680674245;15.0336277962259;10.7561130689916;11.645871840574;9.62144570231803;12.3848891276411;14.4589684022131;9.20678968637082;11.4659118869405;12.9797564165667;9.92676810990037;13.0591146386571;15.6569799818291
06;15.1594334325144;26.5316576850936;15.632436064396;11.141462924924;11.5025812845671;13.5359152895437;22.8740810121199;14.5809229243912;10.9648293164698;9.98989484266266;16.4606006019099;28.5205386164815;16.6992062949462;11.4541704644323;11.7906478942378;10.1465644440513;14.8758899579687;17.8347091952634;9.71503622414773;13.5696111323594;15.0475520275799;10.5259752283771;15.8945845614594;20.1286715207376
07;13.3070987818509;23.788253375937;14.7531040384596;10.4540130740365;11.3467104345091;11.8629952116074;20.0850339199585;13.3655637855919;10.2631605041569;10.4049377679467;14.275603107854;25.3690249830991;15.7688680394383;10.9383570047594;11.5608098547331;9.67633039545048;13.0892970679029;15.2228210071831;9.38898341602419;11.8633929666886;12.8004088475091;9.86685892620715;13.8977429765145;16.9177866826864
08;13.1200155688638;23.392105975593;14.8688315379225;10.3822809213696;11.6997342235745;11.7627503663928;20.1987983900618;13.4503567276381;10.2000272231153;10.5567725012191;13.8962734420511;24.7506493782042;15.8309175302475;10.924648485097;11.8893060133241;9.7630732490521;12.9681483377151;14.6616508394342;9.31688321144064;11.8106814699192;12.6024867970453;10.0548972696237;13.6235431211097;15.8105202155741
09;12.5438414421515;22.5734440689125;14.1605404332049;10.0806777207017;11.075018740306;11.2107049245795;18.878613923748;12.7495550665674;9.94163794975183;9.66218561418791;13.4342894336854;24.1986260424433;15.266108741926;10.4334803432386;11.3174467157938;9.46813539613512;12.2707579456576;14.237367660153;9.18861459569132;11.1190020327885;12.0787473823059;9.64380011400932;13.0320944184623;15.7444701846491
10;13.0625921076775;23.616231000249;14.6182239892594;10.4185327978662;10.9848646158885;11.8306823546557;20.3709549164536;13.4365427778891;10.2495130763203;9.69381071622326;13.9269879572701;25.2737324271146;15.5343306694226;10.8518791470164;11.2807880007186;9.68048480825534;12.9904987036938;14.6508221202187;9.30491125156961;11.9043420564561;12.7225686085298;9.96144567369601;13.7308516132992;16.0649028167837
